Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
handcrafted-brass-multicolor-24-vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-24-vase-vases-950.webp?v=1772345885,3,"",,,,,,,,
handcrafted-brass-multicolor-24-vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-24-vase-vases-635.webp?v=1772345886,4,"",,,,,,,,
handcrafted-brass-multicolor-24-vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-24-vase-vases-255.webp?v=1772345886,5,"",,,,,,,,
handcrafted-brass-multicolor-24-vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-24-vase-vases-132.webp?v=1772345887,6,"",,,,,,,,
handcrafted-brass-multicolor-24-vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-multicolor-24-vase-vases-450.webp?v=1772345887,7,"",,,,,,,,
handcrafted-brass-gold-9-surahi,"Handcrafted Brass Gold 9"" Surahi","<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p data-mce-fragment=""1"">This handcrafted brass surahi is a beautiful piece of artwork. It's 9 tall and has intricate detail, making it a useful addition to any kitchen.</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Crafted From Brass</li>
<li data-mce-fragment=""1"">Gold Finish</li>
<li data-mce-fragment=""1"">Floral Design</li>
<li data-mce-fragment=""1"">Beautiful Traditional Design</li>
<li data-mce-fragment=""1"">Masterpiece Eye Catching Styling</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Dimensions:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">17""Dia x 9""H</li>
</ul>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p><span style=""text-decoration: underline;""><strong>Note: Product color may slightly vary due to photographic lighting sources or your screen settings</strong></span></p>",hometrends,,Vases,"",false,Title,Default Title,,,,,,,,AHC-00096,0.0,,0,deny,manual,5019.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-gold-9-surahi-vases-168.webp?v=1772345882,1,"",false,,,,kg,,,active
handcrafted-brass-gold-9-surahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-gold-9-surahi-vases-240.webp?v=1772345882,2,"",,,,,,,,
handcrafted-brass-gold-9-surahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-gold-9-surahi-vases-756.webp?v=1772345883,3,"",,,,,,,,
handcrafted-brass-16-gold-aftaba,"Handcrafted Brass 16"" Gold Aftaba","<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p data-mce-fragment=""1"">This is a beautifully handcrafted brass 16"" gold aftaba. It is made from high quality brass with a stunning gold finish. The hand crafting is evident in the intricate detail and workmanship. This is a beautiful traditional design that would make an eye catching addition to any home.</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Crafted From Brass</li>
<li data-mce-fragment=""1"">Gold Finish</li>
<li data-mce-fragment=""1"">Floral Design</li>
<li data-mce-fragment=""1"">Beautiful Traditional Design</li>
<li data-mce-fragment=""1"">Masterpiece Eye Catching Styling</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Dimensions:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">13""Dia x 16""H</li>
</ul>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p><span style=""text-decoration: underline;""><strong>Note: Product color may slightly vary due to photographic lighting sources or your screen settings</strong></span></p>",hometrends,,Vases,"",false,Title,Default Title,,,,,,,,AHC-00097,0.0,,0,deny,manual,7165.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-16-gold-aftaba-vases-510.webp?v=1772345878,1,"",false,,,,kg,,,active
handcrafted-brass-16-gold-aftaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-16-gold-aftaba-vases-932.webp?v=1772345878,2,"",,,,,,,,
handcrafted-brass-16-gold-aftaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-16-gold-aftaba-vases-322.webp?v=1772345879,3,"",,,,,,,,
handcrafted-brass-16-gold-aftaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0751/7588/7034/files/handcrafted-brass-16-gold-aftaba-vases-800.webp?v=1772345879,4,"",,,,,,,,
